id,category,input,behavior,tools,expected_json,notes
TC001,simple,Nyalakan lampu kamar,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""on""}}]}",
TC002,simple,Matikan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC003,simple,Bisa hidupkan lampu ruang tamu?,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC004,simple,Lampu kamar tolong dimatikan,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""off""}}]}",
TC005,simple,Nyalain lampu kamar dong,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""on""}}]}",
TC006,simple,Turn on Lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC007,simple,Turn off Lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC008,simple,Berapa suhu ruang tamu saat ini?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC009,simple,Nyalakan kipas,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""on""}}]}",
TC010,simple,Matikan kipas,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""off""}}]}",
TC011,simple,Apakah kipas menyala?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC012,simple,Apakah lampu kamar menyala?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar""}}]}",
TC013,simple,Tampilkan daftar semua perangkat,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{}}]}",
TC014,simple,Tampilkan daftar perangkat halaman pertama,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""page"":0}}]}",
TC015,simple,Tampilkan 10 riwayat suhu terakhir ruang tamu,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC016,simple,Lihat 10 log terakhir lampu kamar,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar""}}]}",
TC017,simple,Tampilkan 10 riwayat kipas terakhir,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC018,simple,Catat suhu ruang tamu 28 derajat,tool_call,create_device_log,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_device_log"",""parameters"":{""deviceName"":""Suhu ruangan"",""deviceLogData"":""28""}}]}",
TC019,simple,Catat status kipas sedang menyala,tool_call,create_device_log,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_device_log"",""parameters"":{""deviceName"":""Kipas"",""deviceLogData"":""1""}}]}",
TC020,simple,Tampilkan semua aturan otomatis yang ada,tool_call,list_automation_rules,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_automation_rules"",""parameters"":{}}]}",
TC021,medium,Jadwalkan nyalakan lampu ruang tamu besok jam 07:30,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":7,""minute"":30}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":7,""minute"":30,""timezone"":""Asia/Jakarta""}]}",
TC022,medium,Matikan lampu kamar jam 23:00 nanti malam,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""off"",""category"":""once"",""hour"":23,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu kamar"",""action"":""off"",""category"":""once"",""hour"":23,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC023,medium,Set jadwal lampu ruang tamu menyala jam 06:15 besok pagi,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":6,""minute"":15}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":6,""minute"":15,""timezone"":""Asia/Jakarta""}]}",
TC024,medium,Nyalakan lampu ruang tamu setiap hari jam 18:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":18,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":18,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC025,medium,Matikan lampu ruang tamu setiap hari jam 06:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":6,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":6,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC026,medium,Setiap pagi jam 05:45 matikan lampu ruang tamu,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":5,""minute"":45}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":5,""minute"":45,""timezone"":""Asia/Jakarta""}]}",
TC027,medium,Jadwalkan lampu kamar menyala tiap hari jam 17:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""on"",""category"":""repeat"",""hour"":17,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu kamar"",""action"":""on"",""category"":""repeat"",""hour"":17,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC028,medium,Jadwalkan ambil data suhu ruang tamu jam 09:00 besok,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Suhu ruangan"",""category"":""once"",""hour"":9,""minute"":0}}],""schedule"":[{""deviceName"":""Suhu ruangan"",""category"":""once"",""hour"":9,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC029,medium,Nyalakan kipas setiap hari jam 12:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Kipas"",""state"":""on"",""category"":""repeat"",""hour"":12,""minute"":0}}],""schedule"":[{""deviceName"":""Kipas"",""action"":""on"",""category"":""repeat"",""hour"":12,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC030,medium,Jadwalkan cek suhu ruang tamu setiap hari jam 07:00,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Suhu ruangan"",""category"":""repeat"",""hour"":7,""minute"":0}}],""schedule"":[{""deviceName"":""Suhu ruangan"",""category"":""repeat"",""hour"":7,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC031,medium,Ambil data lampu kamar jam 15:00 nanti,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Lampu kamar"",""category"":""once"",""hour"":15,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu kamar"",""category"":""once"",""hour"":15,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC032,medium,Tampilkan 5 jadwal terakhir yang dibuat,tool_call,list_scheduled_jobs,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_scheduled_jobs"",""parameters"":{""limit"":5}}]}",
